"experiment","age","participant","condition","trial","rating"
"constrained","adults",162,"additive","mc",17.5
"constrained","adults",162,"additive","co",19.75
"constrained","adults",162,"additive","cm",19.75
"constrained","adults",162,"additive","cc",20
"constrained","adults",165,"additive","oo",1
"constrained","adults",165,"additive","om",2.25
"constrained","adults",165,"additive","oc",15.75
"constrained","adults",165,"additive","mo",3.25
"constrained","adults",165,"additive","mm",16
"constrained","adults",165,"additive","mc",16.75
"constrained","adults",165,"additive","co",16
"constrained","adults",165,"additive","cm",16.75
"constrained","adults",165,"additive","cc",20
"constrained","adults",168,"additive","oo",1.5
"constrained","adults",168,"additive","om",3.75
"constrained","adults",168,"additive","oc",12.75
"constrained","adults",168,"additive","mo",6.25
"constrained","adults",168,"additive","mm",15
"constrained","adults",168,"additive","mc",15.25
"constrained","adults",168,"additive","co",20
"constrained","adults",168,"additive","cm",20
"constrained","adults",168,"additive","cc",20
"constrained","4_years",46,"conjunctive","oo",4
"constrained","4_years",46,"conjunctive","om",3.25
"constrained","4_years",46,"conjunctive","oc",2.5
"constrained","4_years",46,"conjunctive","mo",8.5
"constrained","4_years",46,"conjunctive","mm",20
"constrained","4_years",46,"conjunctive","mc",20
"constrained","4_years",46,"conjunctive","co",10
"constrained","4_years",46,"conjunctive","cm",20
"constrained","4_years",46,"conjunctive","cc",20
"constrained","4_years",47,"conjunctive","oo",1
"constrained","4_years",47,"conjunctive","om",0.75
"constrained","4_years",47,"conjunctive","oc",1.5
"constrained","4_years",47,"conjunctive","mo",7.25
"constrained","4_years",47,"conjunctive","mm",18.5
"constrained","4_years",47,"conjunctive","mc",15
"constrained","4_years",47,"conjunctive","co",10
"constrained","4_years",47,"conjunctive","cm",19.75
"constrained","4_years",47,"conjunctive","cc",20
"constrained","4_years",48,"conjunctive","oo",0
"constrained","4_years",48,"conjunctive","om",0
"constrained","4_years",48,"conjunctive","oc",1.5
"constrained","4_years",48,"conjunctive","mo",7.5
"constrained","4_years",48,"conjunctive","mm",20
"constrained","4_years",48,"conjunctive","mc",20
"constrained","4_years",48,"conjunctive","co",10
"constrained","4_years",48,"conjunctive","cm",20
"constrained","4_years",48,"conjunctive","cc",20
"constrained","4_years",49,"conjunctive","oo",5.5
"constrained","4_years",49,"conjunctive","om",1.5
"constrained","4_years",49,"conjunctive","oc",2.75
"constrained","4_years",49,"conjunctive","mo",2
"constrained","4_years",49,"conjunctive","mm",20
"constrained","4_years",49,"conjunctive","mc",17.75
"constrained","4_years",49,"conjunctive","co",3
"constrained","4_years",49,"conjunctive","cm",19
"constrained","4_years",49,"conjunctive","cc",17.25
"constrained","4_years",50,"conjunctive","oo",0.5
"constrained","4_years",50,"conjunctive","om",0.75
"constrained","4_years",50,"conjunctive","oc",0.75
"constrained","4_years",50,"conjunctive","mo",4.5
"constrained","4_years",50,"conjunctive","mm",16.5
"constrained","4_years",50,"conjunctive","mc",16
"constrained","4_years",50,"conjunctive","co",7.5
"constrained","4_years",50,"conjunctive","cm",20
"constrained","4_years",50,"conjunctive","cc",20
"constrained","4_years",51,"conjunctive","oo",0
"constrained","4_years",51,"conjunctive","om",0.25
"constrained","4_years",51,"conjunctive","oc",0
"constrained","4_years",51,"conjunctive","mo",0
